ID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
4954,Andhra Pradesh,KURNOOL,2003,Kharif     ,Rice,34618.0,100635.0
4973,Andhra Pradesh,KURNOOL,2003,Rabi       ,Rice,4966.0,11377.0
5013,Andhra Pradesh,KURNOOL,2004,Kharif     ,Rice,61465.0,210702.0
5031,Andhra Pradesh,KURNOOL,2004,Rabi       ,Rice,12058.0,37549.0
5059,Andhra Pradesh,KURNOOL,2005,Kharif     ,Rice,88555.0,292586.0
5077,Andhra Pradesh,KURNOOL,2005,Rabi       ,Rice,20079.0,65980.0
5104,Andhra Pradesh,KURNOOL,2006,Kharif     ,Rice,80692.0,270238.0
5121,Andhra Pradesh,KURNOOL,2006,Rabi       ,Rice,12475.0,36764.0
5146,Andhra Pradesh,KURNOOL,2007,Kharif     ,Rice,90000.0,332000.0
5157,Andhra Pradesh,KURNOOL,2007,Rabi       ,Rice,19000.0,51000.0
5173,Andhra Pradesh,KURNOOL,2008,Kharif     ,Rice,84066.0,279856.0
5189,Andhra Pradesh,KURNOOL,2008,Rabi       ,Rice,27383.0,97073.0
5214,Andhra Pradesh,KURNOOL,2009,Kharif     ,Rice,81908.0,256454.0
5230,Andhra Pradesh,KURNOOL,2009,Rabi       ,Rice,44772.0,157911.0
5256,Andhra Pradesh,KURNOOL,2010,Kharif     ,Rice,104110.0,291475.0
5273,Andhra Pradesh,KURNOOL,2010,Rabi       ,Rice,32967.0,105626.0
5300,Andhra Pradesh,KURNOOL,2011,Kharif     ,Rice,91984.0,333882.0
5317,Andhra Pradesh,KURNOOL,2011,Rabi       ,Rice,14738.0,46042.0
5352,Andhra Pradesh,KURNOOL,2012,Kharif     ,Rice,72625.0,276774.0
5381,Andhra Pradesh,KURNOOL,2012,Rabi       ,Rice,16840.0,60102.0
5412,Andhra Pradesh,KURNOOL,2013,Kharif     ,Rice,92596.0,340383.0
5440,Andhra Pradesh,KURNOOL,2013,Rabi       ,Rice,32298.0,118017.0
5476,Andhra Pradesh,KURNOOL,2014,Kharif     ,Rice,91569.0,361514.0
5508,Andhra Pradesh,KURNOOL,2014,Rabi       ,Rice,23329.0,82748.0
5519,Andhra Pradesh,KURNOOL,2014,Whole Year ,Rice,114898.0,444262.0
5530,Andhra Pradesh,PRAKASAM,1997,Kharif     ,Rice,62000.0,124300.0
5544,Andhra Pradesh,PRAKASAM,1997,Rabi       ,Rice,74200.0,222100.0
5559,Andhra Pradesh,PRAKASAM,1998,Kharif     ,Rice,72100.0,206700.0
5574,Andhra Pradesh,PRAKASAM,1998,Rabi       ,Rice,73800.0,248900.0
5591,Andhra Pradesh,PRAKASAM,1999,Kharif     ,Rice,70189.0,190583.0
5605,Andhra Pradesh,PRAKASAM,1999,Rabi       ,Rice,54885.0,129541.0
